id,book_id,author,title,average_rating,ratings_count,primary_genre,secondary_genre,tertiary_genre
1,2767052,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",4.34,4780653,Young Adult,Fiction,Science Fiction
2,3,J.K. Rowling,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,Fantasy,Fiction,Young Adult
3,41865,Stephenie Meyer,"Twilight (Twilight, #1)",3.57,3866839,Fantasy,Young Adult,Romance
4,2657,Harper Lee,To Kill a Mockingbird,4.25,3198671,Classics,Fiction,Historical
5,4671,F. Scott Fitzgerald,The Great Gatsby,3.89,2683664,Classics,Fiction,Academic
6,11870085,John Green,The Fault in Our Stars,4.26,2346404,Young Adult,Romance,Fiction
7,5907,J.R.R. Tolkien,The Hobbit,4.25,2071616,Fantasy,Classics,Fiction
8,5107,J.D. Salinger,The Catcher in the Rye,3.79,2044241,Classics,Fiction,Young Adult
9,960,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,Fiction,Mystery,Thriller
10,1885,Jane Austen,Pride and Prejudice,4.24,2035490,Classics,Fiction,Romance
11,77203,Khaled Hosseini,The Kite Runner,4.26,1813044,Fiction,Historical,Historical Fiction
12,13335037,Veronica Roth,"Divergent (Divergent, #1)",4.24,1903563,Young Adult,Science Fiction,Dystopia
13,5470,George Orwell,1984,4.14,1956832,Classics,Fiction,Science Fiction
14,7613,George Orwell,Animal Farm,3.87,1881700,Classics,Fiction,Science Fiction
15,48855,Anne Frank,The Diary of a Young Girl,4.1,1972666,Classics,Nonfiction,History
16,2429135,Stieg Larsson,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,Fiction,Mystery,Thriller
17,6148028,Suzanne Collins,"Catching Fire (The Hunger Games, #2)",4.3,1831039,Young Adult,Science Fiction,Dystopia
18,5,J.K. Rowling,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,Fantasy,Young Adult,Fiction
19,34,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803,Fantasy,Classics,Fiction
20,7260188,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",4.03,1719760,Young Adult,Science Fiction,Dystopia
21,2,J.K. Rowling,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,Fantasy,Young Adult,Fiction
22,12232938,Alice Sebold,The Lovely Bones,3.77,1605173,Fiction,Mystery,Young Adult
23,15881,J.K. Rowling,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,Fantasy,Fiction,Young Adult
24,6,J.K. Rowling,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,Fantasy,Young Adult,Fiction
25,136251,J.K. Rowling,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,Fantasy,Young Adult,Fiction
26,968,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,Fiction,Mystery,Thriller
27,1,J.K. Rowling,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,Fantasy,Young Adult,Fiction
28,7624,William Golding,Lord of the Flies,3.64,1605019,Classics,Fiction,Young Adult
29,18135,William Shakespeare,Romeo and Juliet,3.73,1628519,Classics,Plays,Fiction
30,19288043,Gillian Flynn,Gone Girl,4.03,512475,Fiction,Mystery,Thriller
31,4667024,Kathryn Stockett,The Help,4.45,1531753,Fiction,Historical,Historical Fiction
32,890,John Steinbeck,Of Mice and Men,3.84,1467496,Classics,Fiction,Academic
33,929,Arthur Golden,Memoirs of a Geisha,4.08,1300209,Fiction,Historical,Historical Fiction
34,10818853,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,Romance,Fiction,Adult Fiction
35,865,Paulo Coelho,The Alchemist,3.82,1299566,Fiction,Classics,Fantasy
36,3636,Lois Lowry,"The Giver (The Giver, #1)",4.12,1296825,Young Adult,Fiction,Classics
37,100915,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,Fantasy,Classics,Fiction
38,18619684,Audrey Niffenegger,The Time Traveler's Wife,3.95,746287,Fiction,Romance,Fantasy
39,13496,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,Fantasy,Fiction,Fantasy
40,19501,Elizabeth Gilbert,"Eat, Pray, Love",3.51,1181647,Nonfiction,Autobiography,Memoir
